name,name_en,category,latitude,longitude,description,rating,prefecture,city
東京タワー,Tokyo Tower,名所,35.6586,139.7454,東京のシンボル的存在,4.5,東京都,港区
浅草寺,Senso-ji Temple,寺社,35.7148,139.7967,東京最古の寺,4.3,東京都,台東区
清水寺,Kiyomizu-dera Temple,世界遺産,34.9949,135.7850,京都を代表する寺院,4.8,京都府,京都市
金閣寺,Kinkaku-ji Temple,世界遺産,35.0394,135.7292,金色に輝く寺院,4.7,京都府,京都市
伏見稲荷大社,Fushimi Inari Taisha,寺社,34.9671,135.7727,千本鳥居で有名,4.6,京都府,京都市
富士山,Mount Fuji,世界遺産,35.3606,138.7278,日本最高峰,5.0,山梨県,富士吉田市
姫路城,Himeji Castle,世界遺産,34.8394,134.6939,白鷺城とも呼ばれる,4.7,兵庫県,姫路市
厳島神社,Itsukushima Shrine,世界遺産,34.2959,132.3198,海に浮かぶ鳥居,4.8,広島県,廿日市市
原爆ドーム,Atomic Bomb Dome,世界遺産,34.3955,132.4536,平和の象徴,4.5,広島県,広島市
屋久島,Yakushima,世界遺産,30.3348,130.5331,世界自然遺産の島,4.9,鹿児島県,屋久島町
東大寺,Todaiji Temple,寺社,34.6896,135.8399,奈良の大仏で有名,4.7,奈良県,奈良市
奈良公園,Nara Park,公園,34.6851,135.8398,鹿と触れ合える公園,4.6,奈良県,奈良市
名古屋城,Nagoya Castle,城,35.1846,136.8997,金鯱で知られる城,4.3,愛知県,名古屋市
松本城,Matsumoto Castle,城,36.2381,137.9699,国宝の現存天守,4.6,長野県,松本市
兼六園,Kenrokuen Garden,庭園,36.5610,136.6623,日本三名園の一つ,4.6,石川県,金沢市
金沢21世紀美術館,21st Century Museum of Contemporary Art Kanazawa,美術館,36.5613,136.6562,現代アートの人気スポット,4.4,石川県,金沢市
地獄谷野猿公苑,Jigokudani Monkey Park,自然,36.7323,138.4626,野生の猿の温泉,4.4,長野県,山ノ内町
箱根温泉,Hakone Onsen,温泉,35.2330,139.1050,箱根の温泉郷,4.5,神奈川県,箱根町
鎌倉大仏,Great Buddha of Kamakura,寺社,35.3167,139.5350,高徳院の銅造大仏,4.6,神奈川県,鎌倉市
江ノ島,Enoshima,島,35.2992,139.4707,海景と神社が魅力,4.5,神奈川県,藤沢市
札幌時計台,Sapporo Clock Tower,名所,43.0618,141.3565,札幌のランドマーク,4.0,北海道,札幌市
小樽運河,Otaru Canal,名所,43.1975,140.9947,石造倉庫群が並ぶ運河,4.4,北海道,小樽市
旭山動物園,Asahiyama Zoo,動物園,43.7676,142.4440,行動展示で有名,4.6,北海道,旭川市
青い池,Blue Pond,自然,43.4950,142.6167,美瑛の青い池,4.5,北海道,美瑛町
白川郷,Shirakawa-go,世界遺産,36.2566,136.8986,合掌造り集落,4.7,岐阜県,白川村
高山古い町並,Takayama Old Town,史跡,36.1408,137.2550,江戸の面影残る町並み,4.6,岐阜県,高山市
上高地,Kamikochi,自然,36.2456,137.6060,北アルプスの景勝地,4.8,長野県,松本市
黒部ダム,Kurobe Dam,名所,36.5620,137.6670,日本最大級のアーチ式ダム,4.6,富山県,立山町
大阪城,Osaka Castle,城,34.6873,135.5259,豊臣秀吉ゆかりの城,4.4,大阪府,大阪市
ユニバーサル・スタジオ・ジャパン,Universal Studios Japan,テーマパーク,34.6654,135.4323,大阪の大型テーマパーク,4.6,大阪府,大阪市

